sex,init_bmi,chng_bmi,age,n_microbiol,pancreatic_enzyme_suppl,lag_fev,lag_bmi,pred,lower,upper,ageg,vary,weight_cat
F,14.2,7.7,10,14.521808818119705,TRUE,70,21.9,15.787059167505626,14.770518118268148,16.803600216743103,Child,Change in BMI,Underweight
F,14.2,7.800000000000001,10,14.521808818119705,TRUE,70,22,15.890728251024063,14.852861695778854,16.92859480626927,Child,Change in BMI,Underweight
F,14.2,7.9,10,14.521808818119705,TRUE,70,22.1,15.992014557497452,14.932042718708956,17.051986396285947,Child,Change in BMI,Underweight
F,14.2,8,10,14.521808818119705,TRUE,70,22.2,16.090938068672955,15.00809851827822,17.17377761906769,Child,Change in BMI,Underweight
F,14.2,8.1,10,14.521808818119705,TRUE,70,22.299999999999997,16.187518677433697,15.081067133884517,17.293970220982878,Child,Change in BMI,Underweight
F,14.2,8.200000000000001,10,14.521808818119705,TRUE,70,22.4,16.281776187798712,15.150987136172201,17.412565239425223,Child,Change in BMI,Underweight
F,14.2,8.3,10,14.521808818119705,TRUE,70,22.5,16.37373031492298,15.217897466326653,17.529563163519306,Child,Change in BMI,Underweight
F,14.2,8.4,10,14.521808818119705,TRUE,70,22.6,16.463400685097422,15.281837291759704,17.64496407843514,Child,Change in BMI,Underweight
F,14.2,8.5,10,14.521808818119705,TRUE,70,22.7,16.550806835748894,15.342845877921585,17.758767793576204,Child,Change in BMI,Underweight
F,14.2,8.6,10,14.521808818119705,TRUE,70,22.799999999999997,16.63596821544018,15.400962475642508,17.87097395523785,Child,Change in BMI,Underweight
F,14.2,8.700000000000001,10,14.521808818119705,TRUE,70,22.9,16.718904183870016,15.456226223162732,17.981582144577303,Child,Change in BMI,Underweight
F,14.2,8.8,10,14.521808818119705,TRUE,70,23,16.799634011873046,15.508676061842893,18.0905919619032,Child,Change in BMI,Underweight
F,14.2,8.9,10,14.521808818119705,TRUE,70,23.1,16.87817688141989,15.558350664445324,18.198003098394455,Child,Change in BMI,Underweight
F,14.2,9,10,14.521808818119705,TRUE,70,23.2,16.954551885617068,15.605288374828932,18.303815396405202,Child,Change in BMI,Underweight
F,14.2,9.1,10,14.521808818119705,TRUE,70,23.299999999999997,17.028778028707062,15.649527157895546,18.40802889951858,Child,Change in BMI,Underweight
F,14.2,9.200000000000001,10,14.521808818119705,TRUE,70,23.4,17.100874226068267,15.691104558652317,18.510643893484218,Child,Change in BMI,Underweight
F,14.2,9.3,10,14.521808818119705,TRUE,70,23.5,17.170859304215032,15.73005766930584,18.611660939124224,Child,Change in BMI,Underweight
F,14.2,9.4,10,14.521808818119705,TRUE,70,23.6,17.23875200079764,15.766423103370109,18.71108089822517,Child,Change in BMI,Underweight
F,14.2,9.5,10,14.521808818119705,TRUE,70,23.7,17.3045709646023,15.80023697584743,18.808904953357167,Child,Change in BMI,Underweight
F,14.2,9.600000000000001,10,14.521808818119705,TRUE,70,23.8,17.36833475555117,15.831534888623281,18.90513462247906,Child,Change in BMI,Underweight
F,14.2,9.700000000000001,10,14.521808818119705,TRUE,70,23.9,17.430061844702333,15.860351920299374,18.999771769105294,Child,Change in BMI,Underweight
F,14.2,9.8,10,14.521808818119705,TRUE,70,24,17.48977061424982,15.886722619771389,19.092818608728255,Child,Change in BMI,Underweight
F,14.2,9.9,10,14.521808818119705,TRUE,70,24.1,17.54747935752359,15.910681002936307,19.18427771211087,Child,Change in BMI,Underweight
F,14.2,10,10,14.521808818119705,TRUE,70,24.2,17.603206278989532,15.932260551988577,19.274152005990487,Child,Change in BMI,Underweight
